best_case_blimp_equal	10381244.25999981
worst_case_blimp_equal	10381244.25999981
best_case_blimp_not_equal	10381244.25999981
worst_case_blimp_not_equal	10381244.25999981
best_case_ambit_equal	75266.75999999969
worst_case_ambit_equal	75266.75999999969
best_case_ambit_et_equal	21866.9
worst_case_ambit_et_equal	1390918.6000000208
best_case_ambit_not_equal	75436.87999999968
worst_case_ambit_not_equal	75436.87999999968
best_case_ambit_et_not_equal	22037.02
worst_case_ambit_et_not_equal	1391088.720000021
best_case_blimp_v_equal	26908.360000000106
worst_case_blimp_v_equal	26908.360000000106
best_case_blimp_v_et_equal	634.24
worst_case_blimp_v_et_equal	32028.360000000142
best_case_blimp_v_not_equal	27010.420000000107
worst_case_blimp_v_not_equal	27010.420000000107
best_case_blimp_v_et_not_equal	736.3
worst_case_blimp_v_et_not_equal	32130.420000000144
